,Emotion,Sentence
73,Other,bắt trước chuyện tềnh trong thang máy cơ mà cái này kết có hậu :)
302,Disgust,vl ! người ngoài hành tinh biết nói tiếng anh ! bọn mày lú hết rồi à ? cái quần què gì cũng tin được !
41,Enjoyment,má nó thú dị thôi rồi 😂😂😂
1019,Sadness,crush bị thịt hay không không quan trọng . t chỉ sợ vợ tao đang bị thg nào đó gạ địt thôi . nghĩ mà buồn
419,Other,mấy đứa bị bón thích cái này
1823,Anger,thằng lol nào trong miệng thế
1231,Sadness,per đau hơn chia tay người yêu nữa
1650,Enjoyment,tôi đã đúng khi đọc bình luận thay vì đọc bài :)
720,Other,hóng kỉ lục để lông mũi dài tới bụng :))
83,Disgust,đánh rơi liêm sỉ trong 1 nốt nhạc
742,Disgust,chuẩn ..! dm mang tiếng được trung ương mà toàn lũ ghen ăn tức ở_xểnh tí là hại nhau ngay ..! làm vất vả tiền chả thấy đâu ..!=))))))
1781,Surprise,nước ngoài cái gì cũng to kể cả sinh vật
1790,Surprise,ôi tao đã tìm được người cùng hành tinh ?
904,Enjoyment,câu nói quá chuẩn và ý nghĩa 👍
1887,Enjoyment,cảm ơn đoi tình nguyện viên nhớ có các bạn mà người dân bớt vất vả hơn
1318,Disgust,"từ cái thời mới bắt về bé tí . suốt ngày bị lũ gà mái bắt nạt run rẩy trong góc . mình thấy tội nghiệp nên săn sóc từng tí 1 , lại bảo kê cho nó khỏi lũ gà . thế mà dume lúc lớn lúc đéo nào cũng kêu như giết heo , đuổi đánh lũ gà chạy tán loạn , đè chết cả mấy con gà . đã thế thì thôi lúc vào cho nó ăn nó dí cho thì thôi rồi . vừa dí vừa mổ , hồi đấy nuôi ngỗng mơ cũg thấy ác mộng bị nó đuổi mổ . tóm lại vừa vô ơn vừa đéo dễ thương tí nào cả"
1597,Sadness,lụm điều cho ba má . 2 ngàn 1 ngày bỏ heo đất . thằng hàng xóm vô trộm mất . khóc lóc mấy ngày .
756,Enjoyment,cỡ nào anh cũng có thể chịu đựng được vì anh yêu em
117,Enjoyment,người ta kê bàn ghế ra chả nhẽ lại vẫn nằm đất để nhìn mông người khác ngồi :))) pha xử lý rất cao tayyy
1197,Sadness,"những việc này , mang lên đây chả giải quyết được gì cả ."
737,Sadness,đến ngày sinh nhật mà còn không nhớ thì còn nói gì nũa
1708,Enjoyment,1967 mà cụ ông đẹp trai phong độ ăn mặc thời trang quá :))
29,Other,của thằng kia mà
871,Sadness,"chắc tại từ nhỏ tới lớn mình "" man "" quá nên không gặp được gã nào ga lăng dư này :("
1932,Disgust,bảo thẳng luôn dân việt nam nghèo còn bày đặt . không biết quý đồ ăn là gì . nói thì lại tự ái quay ra đôi co .
202,Anger,douma đứng trong nhà cũng không yên cái thân
693,Sadness,hổng gặp cái buồn luôn ><
843,Sadness,thế nên bán hàng có tâm là đừng bao giờ nài nỉ khách mua thêm vì biết đâu bạn vô tình làm cho nỗi đau của họ trở nên tồi tệ hơn .
1420,Enjoyment,tao nhớ không nhầm hôm nay nó đến tháng vậy là sẽ không bị đâu nhỉ
916,Other,năm đó mà có được chiếc xe kia thì cũng không phải dạng vừa rồi 👍
1898,Disgust,"per em ơi , tính ra nhớ đợt mình đi dạo trên cầu per mấy ông đó vứt xuống sông ít ra còn có não hơn mấy đứa vụ này"
759,Sadness,nhìn hói mà thấy thương gê ??
154,Other,ngta lở ăn vụn tha đi lúc đầu thấy êm re tội quá chừng lúc sau tức nước vở bờ 😂😂😂
491,Enjoyment,per nhất định chị em mê tín mình p đi xem phim này rồi
1512,Sadness,đoạn phim này tốn khá nhiều nước mắt của người xem
1856,Surprise,t tưởng móc được mớ vụn ra là hết rồi . ai ngờ còn 2 cục đựu má chà bá
794,Other,liệu nó có bay nổi hay không ?.
509,Anger,mẹ mày đã đánh mày tan xác chưa . phải tao thì mẹ tao cho nhừ tử luôn rồi ??
734,Enjoyment,t mong nó té quá chời :v
1377,Disgust,dẫu hiên ngang giữa đất trời . gặp con vợ đểu thì đời cũng xong
796,Other,thành phố không nói chứ chỉ 9x trở về mới biết nấu thoii
1810,Enjoyment,khi bạn bất cần vãi đời ... làm việc xấu mà cảm thấy thanh thản vãi 😁
1426,Sadness,tao kìm nén lâu qá rồi mà 😌😌 tức nước vỡ bờ thôi
291,Fear,"tự nhiên nhớ đến hồi bé , đi kiểu nào cũng bị ngỗng rượt chạy té sấp mặt luôn , nhiều khi nghĩ sợ nó dí hơn sợ mẹ đánh"
1868,Anger,mày cút
421,Enjoyment,phim này rất hay .
422,Sadness,đang chán đời cắt tóc xong là chán cái mặt hơn chán đời luôn :((
103,Enjoyment,may quá tao không xài huawei kkk
781,Surprise,ông này có võ thiệt 😁😁
1376,Enjoyment,"yeahh ! tao giờ đã là khách quen quán trà sữa đó rồi , về nhà cũng phải ráng tạt qua"
1394,Disgust,ai mà chả sợ rắn chơi ngu như chó vợ nhỉ per
555,Other,sớm chút nữa có lẽ đã khác rồi đúng không ?
206,Enjoyment,đúng là nhân tài luôn ở khắp mọi nơi kkkk
1420,Sadness,bà của tôi đã không còn khi tôi còn chưa biết gg là gì
1566,Sadness,"công trình 850 năm tuổi , xây dựng 100 năm mới hoàn thành chỉ còn là đống cháy sắt vụn ."
1496,Disgust,tao thấy có 1 thằng dân trí thấp trong đám bình luận này rồi đấy
402,Sadness,bỏ thế lồn nào được :(
330,Other,đây là đồ của per ??? hỏi nua không
729,Enjoyment,per trông em bé yêu vãi :))
287,Other,khó có thể giải thích
166,Fear,dù có nói thích mày thì cũng đừng có tin .. xã hội giờ nguy hiểm lắm
1289,Other,chắc sổ đỏ có cả vỉa hè và đường :))
740,Other,ơ . t chỉ quan tâm sao mày lại mặc quần màu hường hình cô gái thôi ??
528,Other,sang năm nữa vác giường ra mà nhìn
1455,Sadness,câu chuyện lấy đi nước mắt của tao
977,Disgust,"ko ngon thế đâu , không khéo nó lại ỉa cứt toe toét vào mặt í :)))"
1223,Sadness,"chờ mãi mà không thấy , cứ thấy trống vắng vãi :(("
969,Sadness,t thấy nó cười hoài mà không bao giờ nó cười với tao cả :((
728,Enjoyment,"per tôn lợp nhà mà đẹo zai thế đấy , lại toàn 6 múi nữa chứ ..."
1739,Enjoyment,"thời thanh xuân tôi từng yêu quý nét hiền thục của chị hiền mai . và đúng như cái tên hiền mai của chị , tên và tâm tính đều đẹp , hiếu thảo khó ai bằng . em xin chúc bác có thêm nhiều sức khoẻ để chị có được nhg tháng ngày hạnh phúc , ấm áp bên mẹ ạ ."
1664,Disgust,cái này gọi là ấu trĩ phải không
170,Sadness,phải tao tao vứt luôn xe ??
420,Sadness,tưởng mai đi họp phụ huynh mới bị u ám . ai ngờ hôm nay mới biết điểm anh 9 . 5 thôi đã u ám rồi :)
1378,Enjoyment,ui đáng yêu gheê
1255,Enjoyment,sắp được cống hiến cho tổ quốc rồi . vui quá ...
681,Disgust,"cạn lời , mình ngủ để khỏi nhìn 😊😊😊"
754,Other,loài dê phải gọi ông này bằng cụ
733,Other,cho em hỏi phim ra tập mới vào những hôm nào ạ
32,Anger,đkm mấy thằng mặt cặc ! gặp bà thì bà lại đá cho thọt con mẹ nó dái lên cổ xem chúng mày có cười mà khoe chiến tích được không . đm lũ chó chết không riềng 😡😡
174,Anger,nghe tên vietcombank là bao nhiêu quá khứ bực mình ùa về
1520,Enjoyment,mạnh vỗ tay 👏
413,Other,thu thập mọi thông tin về đối tượng .. luôn đặt trái tim vào trạng thái .. chiến đấu 😖
1570,Sadness,2 thế kỷ mới xây được vậy mà chỉ trong 63 phút tiêu tan hết :(
644,Sadness,đọc xong tao muốn khóc luôn
1165,Enjoyment,thương vlll
792,Disgust,"xốp dọn không sạch nổi , quản lý người ta lại nói nv làm vệ sinh bẩn không kĩ lưỡng này nọ rồi lại trừ tác phong , các bạn ý thức chút"
1942,Surprise,não bọn này nhiều nếp nhăn đấy
6,Other,tăng sáng lên nhìn cho rõ mặt chứ
1789,Enjoyment,"gặp chị này ngoài đời rồi , giọng nhẹ mà hiền lắm nuôn ❤"
1612,Disgust,"vailon :)) học sinh cơ , dume nó"
1488,Sadness,nta vẩy tay mấy cái cũng ra tranh còn tao thì 😪
11,Other,cẩn thận các góc cửa
662,Disgust,bình luận gì ông này diễn trò ngày nào đi qua khoảng hơn bốn giờ chiều là gặp
223,Fear,"tại như vầy nên bố tao không cho đi cùng . cụ bảo có năm còn lăn cả xuống ruộng , trèo lên mái nhà của người ta để đi ??"
1817,Other,:))) mặt ngáo vậy mà còn lạ lẫm gì
927,Anger,lừa đảo số tiền lớn như vậy thì khởi tối cả lũ chúng nó chứ
15,Other,nhưng tối qua nhà tao có mưa đâu
450,Sadness,tới lúc chia tay rồi khóc :(
75,Other,chọn thằng nào có tương lai hơn . tức có bố mẹ giàu hơn
265,Fear,dm ông cầm cam cho cẩn thận vào tôi cũng muốn ngã mẹ nó rồi này
1569,Enjoyment,tuổi trẻ tài cao =)))
1574,Sadness,per giờ thằng gù nhà thờ chạy đi đâu đây :(
726,Other,nồi cơm điện chứ gì .
1383,Sadness,những người em thích đều đi nơi đâu rồi còn con ml bên cạnh song hành
297,Disgust,cái này giả thui nhé . 1 tài liệu mật của nasa mà cái kênh cùi này có được à 😂
344,Disgust,ghét nhất kiểu tôi quen ông này quen bà kia . nhìu cha có cái nón bảo hiểm không đòi được bị bắt cái gọi điện thoại nhờ người quen . có bạn kiểu đó phiền quá
1411,Anger,giết chết lũ khốn và cái ô che cho chúng .
1433,Sadness,"công ăn việc làm còn chưa ổn định , bố mẹ già còn chưa lo được thì kết hôn để làm gì 😪"
591,Anger,nên cho người xử sai ngồi tù như người ta xem sao ....
959,Sadness,tận cùng của tan vỡ
732,Other,người yêu có thể có nhiều nhưng mạng sống chỉ có 1 chế nhể ?
1025,Enjoyment,"nhà tao bên cạnh phòng tập gym , lúc trước bán dụng cụ thể thao ế vãi ra , nợ nần chồng chất ! từ ngày chuyển sang làm đại lý dầu ăn , gia đình tao phất lên trông thấy !😂😂"
714,Enjoyment,per đúng rồi mình đây =))
362,Other,sao đúng bài mày kết vậy 🙁🙁🙁
70,Disgust,tình yêu con nít cọ đít vào nhau ....
498,Anger,thế thì bắt con phụ nữ chứ bắt gì thằng đâm . con đấy mới là nguồn của vụ án
828,Sadness,tao còn độc thân này :((
687,Disgust,ngộ không phiên bản lỗi 😆😆
1573,Sadness,per mới bắt đầu tuần thánh mà chúa ơii
864,Sadness,buồn vương mi !!!
462,Enjoyment,đăng khoa lê lò dầu của mẹ nè anh 😘😘😘
976,Disgust,đm chưa thấy thằng nào ngu như thằng này :))) bị ngáo cần :))
1727,Disgust,nát xe lại còn phải đền cho cánh cửa toa tàu nữa . dốt thì chết
1054,Enjoyment,không biết crush có thích uống nước mắm không để còn tặng nàng chai nam ngư 900ml :))
1295,Disgust,"văn minh quá , đường trong sổ đỏ người ta mà !"
292,Other,lại nhuộm vàng súng ống rồi
152,Other,xuống đi nó không cắn đâu
926,Sadness,gia đình có nhưng tình yêu không thì sao
1780,Surprise,chúng mày giờ mới biết điều này ah ? =))))
1225,Anger,t cũn gặp 1 ca như vậy mà chúng nó còn chơi chét bánh kem cơ . bước vào nhìn cái phòng mà muốn quăng chổi vào mặt tụi nó
1305,Disgust,"tí tuổi đã hói , chắc kiếp trước ăn ở không ra gì đây"
619,Anger,thì con đỉ mẹ mày ghi nhanh vào .
1409,Enjoyment,"miễn sao có tiền ăn bánh trung thu , mua lồng đèn , đi du lịch =))))"
1172,Sadness,vẫn ế bền vững
822,Disgust,per hẳn là hôm đi chợ bông chắc sẽ có nhìu đứa gét . 🤣🤣🤣
1075,Enjoyment,thích thật
884,Sadness,xong bỗng nhiên một ngày mất hút không để lại 1 hạt bụi
69,Enjoyment,tê tê phê phê sung sướng vãi 😌
951,Other,bạn này sau này sẽ khó bước qua cái bóng của vai diễn này 🙂
394,Other,"bác nói v thì tôi cũng xin thua , có tranh luận cũng không như không"
1579,Enjoyment,lại được làm thêm quả nhà nữa . ngon
954,Enjoyment,tuổi thơ tao dùng n để nướng thằn lằn 😂😂
988,Disgust,lead mới vô nghề còn non thì tuổi lol gì chống lại lead lâu năm
204,Fear,sợ nhất con quỷ này trên đời
731,Other,con cái nhà ai mà bố mẹ chăm cho đẫy đà ngon ngọt thế
532,Other,per nè chị
1116,Enjoyment,đang bo cuối mà lạ có vị trí đẹp thì đúng là tuyệt vời :)))
1713,Other,cái này là cái gì thế .
23,Anger,loz chúng nó là 1 đội . chứ dám chêu người lạ . dm bố mày sút không trượt phát lào
1178,Sadness,"đã từng nhưng 10 năm về trước cơ , buồn ghê"
1052,Other,chỉ có trong truyền thuyết . mà khái niệm truyền thuyết trong ngữ văn lớp 6 là không có thật
599,Anger,nói mẹ ngoài đời
1659,Enjoyment,ở đâu cũng có người tốt nè anh kkkk
1582,Sadness,buồn cho 1 đất nước .
1077,Sadness,nghĩ mà buồn vãi =))
742,Enjoyment,hello đồng nghiệp ;)))) không biết nghiệp gì thôi haha
1599,Enjoyment,"tuyệt với , ước mơ hồi nhỏ của tôi đã được cậu bé này thực hiện"
1791,Surprise,sao mà mặt boss có thể gian đến thế nhỉ
492,Anger,giận con mẹ mày nữa chứ giận :)
792,Other,âu kề ... anh per đã béo từ khi lấy vợ và giống như tất cả các chàng troai khác :)))
1271,Other,chơi ngu lỡ người ta té chấn thương đập đầu rồi ai nuôi 😐😐😐 ở vn nó xúm lại đánh hội đồng ôm đầu mà khóc 😅😅😅
1335,Disgust,kinh dị
1790,Disgust,"cũng được nhưng cuối video nhai nhỏ tiếng hơn thì tốt . :""("
1451,Enjoyment,"kết nó ở cái câu "" đất nước gia lai là một đất nước giàu tài nguyên , có anh per ""😑"
1150,Enjoyment,per tao không gửi cho mọi người . tao chỉ đăng lên facebook cho thiên hạ biết thôi :)))
961,Other,thành công là cách trả thù xã hội ngọt ngào nhất . đừng vì họ nói mà yếu lòng
1367,Disgust,bởi nói để trung nguyên cho bà thảo thì chắc chắn 100 % với cái bộ óc sáng tạo cùng với sự lãnh đạo tài giỏi và lòng tham hơn người và trí tuệ ngắn hạn sẽ dẫn dắt trung nguyên xuống con mẹ nó giếng luôn .
880,Enjoyment,mày khá là may mắn khi không học tiếng huế đấy =))
907,Other,per đi làm công tình yêu cẩn thận ăn uống nhé
488,Sadness,có những người đi qua đời bao nhiêu như 1 cơn gió vậy . vô tình nhìn lại . nó lại là quá khứ ...!
1390,Sadness,"ngày cuối cùng còn ở lại , bản thân không có bất cứ một cảm xúc gì , trong lòng chỉ độc một mảnh phẳng lặng ."
1085,Sadness,🙄🙄🙄🙄 tao cũng thích kiểu kể chuyện trước khi đi ngủ . cho đến khi tao ngủ luôn . mà đéo có ai hết . buồn đời
1548,Sadness,lúc tối mày cũng nằm mơ nèo nhà mày về . ước gì nó là sự thật 😢
1259,Enjoyment,nó lại hợp lí vãi :v
1892,Disgust,nuôi kiểu gì mà lắm ve thế kia ?
313,Fear,"per bởi , đéo dám tán ai hay tỏ tình"
310,Other,coi rồi vẫn muốn coi lại 😚😘
436,Other,sao chưa thấy ai tới cứu nhỉ . lỡ xảy ra gì mất điện toàn tỉnh sao .
341,Other,bình phước vẫn là cây chủ lực .
171,Fear,má hồi xưa về ngoại chơi đi đường bị nguyên đàn yêu nghiệt này dí chạy té đái giờ vẫn sợ bọn nó 😨😨😨
1072,Sadness,nhớ gia đình nhỏ nhiều lắm … mà không được về thăm
592,Enjoyment,"có bài hát "" cuộc đời vẫn đẹp sao , tình yêu vẫn đẹp sao """
416,Disgust,per ghét cái kiểu rõ ràng là chuyện của riêng 2 người vậy mà …
1045,Sadness,nhưng kp cười với mày đâu :) ảo tưởng vãi
1369,Sadness,một câu chuyện bi đát :((
1937,Disgust,sao ý thức kém thế bao nhiêu tâm sức của bao người mà bỏ phí như thế
936,Enjoyment,còn gì hơn lòng dạ đàn bà ... cũng may tao là một con đàn ông :))
647,Disgust,ngu thì chịu
903,Sadness,tao cũng ho trật mẹ khớp vai mà đéo phải 1 lần đầu nhé
1281,Enjoyment,chỉ cần sống thật với cảm xúc .. với chính con người bạn là hạnh phúc nhất
774,Sadness,tao giận bạn trai tao và 5 ngày rồi nó đéo dỗ tao luôn hix
896,Enjoyment,mày lấy sỏi xếp thành tên dume khôn như tao này .
1565,Sadness,chuyện tình huyền thoại của per với per :(
450,Other,per nghe rồi ngủ đi em
875,Enjoyment,may là tao dán kính cường lực
589,Anger,"khiếu nại cái gì khi cả bọn nó bao che cho nhau làm lớn thì sợ ảnh hưởng tới bộ giáo dục cho lên chúng sẽ ?,"
523,Enjoyment,buồn cười vãi ý
424,Other,per thế thì nhà nào bầy hàng họ ra vỉa hè thì mình được đuổi đúng không cụ =)))
1181,Disgust,đm thế giới này toàn nói thật thì công nhận nhạt nhẽo vãi
1209,Enjoyment,ngày bé tao bị nó dí thế là tao cho nó 1 gậy 🙂 hôm đó tao được ăn thịt ngỗng
1571,Sadness,"mất đi một di sản , chứng tích của lịch sử 😓"
1782,Disgust,ác quá trời ơi
343,Fear,thời xưa yêu nhau đến chết vẫn yêu ... thời nay yêu không biết chết lúc nào 🤣 cuộc sống nay đáng sợ lắm 🤪
1424,Sadness,thất vọng và áp lực tích tụ hằng ngày với tao
562,Other,cầu mưa ... mà sao không mưa nhỉ
315,Disgust,bẩn tính vãi nồi
1187,Other,a ấy nói đúng vầy vừa nta dọn cũng khổ nta chứ . phục vụ xog lại phải dọn nữa
1649,Enjoyment,per mày cũng cắt tóc giống thế đi cho đẹp =))))
1348,Enjoyment,ý tưởng hay
1229,Enjoyment,"lúc cụ bà cầm bông như cô gái 18 lần đầu mới yêuc vậy bà ngạc nhiên và hạnh phúc nhìn sâu lắng , video ngắn nhưng cho người xem si nghỉ mải"
5,Enjoyment,per ồ ồ chân chính chạnh lòng rồi 😂
1916,Disgust,nói thật chẳng hiểu thế hệ bây giờ nghĩ gì . động tý vào là kêu này nọ . ở nhà ở trường có vấn đề kêu um lên chứ sau này ra ngoài xã hội mà ngu thì nó vả không trượt phát nào chứ ở đó mà kêu . tiên trách kỷ hậu trách nhân
1629,Disgust,nhiều lúc lắm câu hỏi ngớ ngẩn thật
1003,Disgust,phạt 5tr thì phạt làm gì ? khác nào tiếp tay truyền bá mê tín dị đoan 😌
1441,Disgust,con nhà hư hỏng . bỏ cả nhà đi theo zai . bị nó rũ bỏ vì chửa mới mò về . giờ bắt ai gánh nuôi con . con với cái hư quá thể .
1739,Surprise,ảnh này tao thấy mày đăng mấy lần rồi đó admin
1176,Enjoyment,"làm ở đâu không quan trọng , quan trọng là chị em mình mỗi ngày gặp nhau 9 tiếng cùng làm cùng ăn cùng ngủ chị ngoc thu hen"
1152,Sadness,ước gì có ai để tao tag vào .
846,Enjoyment,"per hồi nhỏ bị ngỗng dí riết ám ảnh , giờ mà bị dí chắc cầm cổ quay thấy moẹ nó luôn hehe"
186,Other,"vậy đấy , thế nên con gái mới toàn bị lừa =)))"
560,Other,tao hiểu mà
613,Enjoyment,nhiều khi nghĩ mình không phải con gái mà là 1 thằng đàn ông chính hiệu kkkk ....
882,Other,chú lên thay được rồi đấy
1748,Surprise,"như mình mà trèo lên là bị phóng điện luôn bạn nhỉ , mình cũng không hiểu được sao bọn nó không bị"
444,Other,chỉ là muốn thôi . chứ chờ đợi không biết thời điểm nào thì cái sự mong muốn đó mới tới
133,Disgust,biết giả vẫn phải tạo
906,Other,chúng tôi xin lỗi và rút kinh nghiệm
489,Enjoyment,chỉ là muốn cạnh mà chỉ có 2 người . nói đủ chuyện trên đời dưới biển rồi đi vào giấc ngủ ngon . vậy thoii
1626,Surprise,bộ phim anime đầu tiên mình xem thấy bác hói được buff sức mạnh kinh vkl =)))
1394,Sadness,ấy thế mà đã 6 năm rồi . bây giờ còn không nhớ được những đứa nào đã học cùng mình nữa rồi 😪
1400,Disgust,chả bù cho tao thời hoc mẫu giáo thằng nào lộn xộn không vào mắt là tao cho ăn đấm luôn
251,Enjoyment,tao là thằng chưa bao giờ giận người yêu vì người yêu tao không bao giờ làm gì có lỗi hết
804,Other,thôi có gì đâu mà cãi
262,Anger,phí cái lol mày á
160,Disgust,như ốc bươu vàng thì là thảm họa rồi
1740,Enjoyment,cha mẹ là món quà vô giá mà ơn trên ban cho chúng ta . không gì có thể so sánh thay thế được . và cũng chỉ có một mà thôi ...
1413,Disgust,loài người thật đáng sợ
1001,Sadness,hicc thương em
123,Disgust,khá tàn nhẫn
955,Other,êu khiếp chứ thế này chết cả gái lẫn zai thôi
1056,Sadness,làm đéo gì có ai nói chuyện thân thiết với tao đâu mà
316,Fear,nhện này trong nhà tao chắc tao bỏ nhà đi mất 😱🤯
676,Disgust,"chuyện ăn ốc đổ võ cũng đưa vô văn học =.="""
1381,Disgust,nó cắn bạo hơn chứ ở đó xạo xạo
502,Sadness,chắc hẳn trước kia em bị đối xử tồi tệ lắm nên mới vậy :(
263,Enjoyment,tiếng guitar thật tuyệt
1302,Disgust,có mấy con đi quán biết là bọn mày bỏ tiền ra thật đó nhưng làm người thì có văn hóa với ạ ... đcm xả rác đổ tùm lum rồi xé giấy ... nói chung là bọn nó đi cái chỗ đó như kiểu ở ngành luôn ấy ... tưởng bỏ tiền ra là làm cha làm mẹ người ta z đó .... mặt đẹp mà tính ở dơ
543,Anger,đm thằng nào đổi gậy như ý của tao rồi
708,Sadness,trách ai bây giờ đây huhu
989,Enjoyment,chuẩn không cần chỉnh
1262,Enjoyment,cực phẩm luôn kìa
106,Fear,per trailer không có tiếng thôi mà đã thấy ghê rồi đó !
349,Fear,nguy hiểm đến với bao nhiêu bất cứ lúc nào
82,Enjoyment,cái ngành tài chính của mình có chỗ dụng võ tốt rồi đây :))))
1154,Sadness,"mình đang thất tình đéo hiểu sao đi cafe còn toàn tận cùng nỗi nhớ , chạm đáy nỗi đau , đừng như thói quen ... dume :)"
1524,Sadness,chợt nhận ra mình yếu đuối như một đứa con gái vậy 😢
1831,Surprise,sao nó mới vậy
271,Disgust,"youtuber nhà người ta đấy , làm cho mọi người cười sảng khoái . còn vn thì toàn món ăn không lồ , rồi mấy cái khác người"
112,Other,điểm thì có hết rồi cần gì quan tâm đề thi nữa
92,Anger,"hết thuốc à mấy thằng quằn què , gặp tao thiến cmnl"
960,Disgust,"chăn lắm lông , bắp tay thì to ôi tuổi thơ của taoooo :33333"
583,Other,không nên tin bất cứ 1 người nào cả
121,Other,ngửi mùi hoa sữa xong chia tay :)
1121,Sadness,ngồi nhiều quá nhìn họ đau mắt
409,Anger,đéo nổi . ngày lol nào đi làm về đã mệt rồi . gặp bà nội ở nhà giận với chả hờn còn hơn khách hàng nữa . đụ mẹ mệt mỏi vcllll
1233,Enjoyment,thấy cờ rút trên tờ polime là tim rụng rời liền
1429,Enjoyment,hôm qua tao cũng xem chục lần :))) bài đếch gì hay vãi :))))))
460,Anger,những trường như thế cho giải tán . cấm tuyển dụng luôn .
466,Other,per xem cái này đi tao coi phần 1 rồi này phần 2 tiếp nè
1704,Disgust,đội cái mũ vào chết đéo ai . không có mũ xong đập đầu xuống đất chết không chết cho lại sống cuộc đời nửa ngáo
920,Disgust,"thớt này chụp kém vãi , 1 khung cảnh mà chụp tận 3 bức , 3 in 1"
1384,Sadness,điều hối tiếc nhất cấp 3 là chưa kí lên áo của nhau 😢
1564,Sadness,buồn thật ấy
1890,Disgust,lũ người nhu nhược :)
1207,Enjoyment,thông minh 😂
396,Anger,"kệ mẹ tao , tao thích nuôi chó thôi okeeee nó đéo bao giờ kêu tao bướng"
1602,Surprise,bên trung về mảng tuyên truyền đỉnh ghê luôn á
477,Sadness,e thắc mắc là cố gắng 1 năm mà rủi ro khách hàng hay bên nhà sx dây không cảm động là ăn cám ạ 😌
1761,Surprise,có gì đó sai sai ??
880,Other,em nghĩ chị em mình cần tìm hiểu quen biết nhau ạ ^^
1228,Anger,dume đọc bình luận bực giùm chủ thớt :)))
1465,Sadness,gắp đúng lúc nhưng hình như đúng lúc người ta không muốn y ai ???? đó là 1 câu chuyện buồn
102,Fear,t thề với mày là tối thấy cái này chắc đái con mẹ nó ra quần
612,Other,đợi em đủ tuổi anh chờ được không ?
1741,Disgust,đừng cứ đổ thừa cho ngành đường sất khi có quá nhiều anh não bé .
1104,Enjoyment,chúng ta nên làm như vậy từ lâu mới phải
596,Anger,đéo hiểu sao có đứa nghĩ là cứ chơi với nhiều trai là bị sờ soạn kiến thức hạn hẹp vãi cậu ạ
381,Enjoyment,per muốn coi cái khúc vẩy xong rồi dừng lại làm sao ấy . kkkkk
1185,Sadness,mua con lợn 50k được lì xì 40k . ok em ổn
1362,Disgust,"mấy bạn nào có ý định tổ chức sn nv thì tém tém lại síu đi , nếu thích tổ chức sn kiểu nv ở đâu cũng vậy khi ra về làm ơn bo cho nv dọn phòng đó 200 300k gì đó cho có tình người síu nha 😂"
311,Fear,per coi phim này chắc chết luôn trong rạp
1134,Disgust,"nó quan tâm mày thì mày đừng vội mừng là nó thích mày , nó chơi chán rồi nó bỏ thôi ."
1578,Enjoyment,dân chơi nhìn cái biết ngay 🤣🤣
673,Disgust,phá làng phá xóm
1029,Sadness,t nhận ra mình đã sai
725,Sadness,30s mặc niệm bắt đầu ...
1927,Surprise,mặc váy kìa . thời trang ? hiện đại quá
815,Sadness,con thương ông quá
1300,Sadness,nhìn mặt con chó tội vãi
640,Disgust,tu mà không dám cao đầu mà sau gọi là tu còn dám súc phạm vong linh người khác bà này là súc vật
1309,Enjoyment,biết ngay anh per lại mượn đầm của vợ :))))
1821,Surprise,đắt hơn sân bay luôn
10,Disgust,cmm lộ hết thông tin của người ta
1653,Fear,đã nguy hiểm vậy sao không hủy mà bán 0 . 0
1625,Surprise,bán không thu thuế luôn à
544,Sadness,t chỉ thấy tình yêu của tao nó tan vỡ thôi
1308,Enjoyment,per :)))) buồn cười vãi
389,Anger,thế 1 đứa con trai bỏ thời gian ra nói chuyện thân thiết với 1 đứa con gái không phải là nó thích con đó thì có con cặc nó làm vậy
1144,Sadness,chưa khi mô biết cảm giác đi nhởi trung thu với người yêu như răng
1013,Enjoyment,móng này móc cua thì đỉnh 😹
106,Enjoyment,có mưa cảm giác như được sống lại :)))
1280,Disgust,mà nó đéo ' quan tâm thì càng đừng nghĩ nó thích mình nha :vậy
487,Other,vợ dùng phá quá nên boss mới thế 🤧🤧🤧
1080,Enjoyment,haha biết ngây mà
962,Sadness,bể mẹ cái kính cường lực mới dán :#
143,Other,dù đúng hay sai cũng đừng bao giờ cãi nhau với con gáo đến cuối cùng mày vẫn sai .
1090,Enjoyment,"cần gì xa hoa đâu , thế này là hạnh phúc , thấy thương và ngưỡng mộ ông bà quá"
1696,Surprise,sao nhanh như chớp vậy được
1530,Anger,nhỏ không dạy để lớn lên làm đĩ à ? phụ huynh kiểu gì thế ?
1021,Other,thằng kia làm nhẹ nhẹ thôi nhé .
177,Disgust,no ́ xâ ́ u tao thi ̀...
739,Other,thế là đã phần nào đoán được kết quả cuộc gặp tại hà nội
741,Sadness,bạn đã hiểu nổi khổ của mario khi mua vui cho bạn chưa :))
141,Disgust,cái đất nước này loạn luân mẹ hết rồi :)))
1518,Enjoyment,"ôi zồi ôi , nhìn cái mặt của ẻm kìa , yêu ghê :))"
269,Other,phố mày co ́ đô ̀ người nghiê ̣ p tô ́ tao ghê :)))
634,Other,per haha bữa 3 đứa mới phong trào xong
879,Other,mốc từ trong trứng
801,Anger,"truy tố ra tòa chứ phạt hành chính gì ??? lừa đảo có tổ chức số tiền trăm tỷ , thêm tội truyền bá mê tín dị đoan ... 👎👎👎"
506,Sadness,xem tới đây dume ứa nước mắt 😞
1892,Anger,toàn “ nam thanh nữ tú ” mở mồm ra nói hay như sách giáo khoa . hành động thì như con c ..
